Title,channel_title,published_at,view_count,like_count,comment_count,definition,duration_seconds
"CSS Tutorial for Beginners | Complete CSS with Project, Notes & Code",Apna College,2023-06-04 16:32:22+00:00,15010531,177335,12936,hd,26304
JavaScript Course for Beginners – Your First Step to Web Development,Programming with Mosh,2018-04-24 02:37:33+00:00,14584557,249667,7611,hd,2897
HTML Tutorial For Beginners In Hindi (With Notes) 🔥,CodeWithHarry,2021-03-17 02:55:23+00:00,14441676,348594,29772,hd,11472
HTML Tutorial for Beginners: HTML Crash Course,Programming with Mosh,2021-01-11 14:30:10+00:00,10401400,228665,6170,hd,4174
"Introduction to HTML, CSS, JavaScript & How websites work? | Web Development Tutorials #1",CodeWithHarry,2019-12-25 08:12:47+00:00,8585440,217065,17155,hd,1107
"How I Learned to Code in 4 Months & Got a Job! (No CS Degree, No Bootcamp)",Tim Kim,2023-06-13 18:52:08+00:00,8353887,406991,8924,hd,591
Introduction to Web Development | World's most premium Web Development Course | Lecture 0 (Reupload),Apna College,2020-12-12 13:59:05+00:00,7247716,183565,6493,hd,668
JavaScript Tutorial Full Course - Beginner to Pro,SuperSimpleDev,2024-05-09 07:28:14+00:00,7193467,144353,8418,hd,80157
How To Make Website Using HTML & CSS | Full Responsive Multi Page Website Design Step by Step,GreatStack,2021-03-15 14:00:12+00:00,7088755,148681,5017,hd,4319
Installing VS Code & How Websites Work | Sigma Web Development Course - Tutorial #1,CodeWithHarry,2023-09-26 14:39:53+00:00,6385911,157559,38775,hd,1880
Web Development Full Course - 10 Hours | Web Development Course Roadmap 2024 | Edureka,edureka!,2019-07-28 08:30:00+00:00,6077042,123783,873,hd,37222
"JavaScript Tutorial (2024) for Beginners to Pro (with Notes, Projects & Practice Questions)",Apna College,2023-12-21 14:39:41+00:00,5617709,69149,3693,hd,42434
How To Create A Website using HTML & CSS | Step-by-Step Tutorial,PROROZ,2021-05-16 12:06:59+00:00,5568555,86786,3148,hd,1639
The Website 💀 #designer #developer #web #shorts,NEXOS CREATOR,2025-06-14 11:13:11+00:00,14690733,187283,1135,hd,10
Power of CSS 😍 #csstutorial #codinglover #coder #codingshortvideo #viral #trading,Code with Patel,2024-06-17 04:30:19+00:00,6002238,283396,2207,hd,14
